,Unnamed: 0.1,Unnamed: 0,rm_restaurant_id,r_onlyname,r_city,r_state,r_score,r_ratings,r_category,r_price_range,r_lat,r_lng,min,max,mean,median,count,state_city,menu_items
21,21,21,28,Sunny  Fines Breakfast Burritos,birmingham,al,,,"mexican, breakfast and brunch, burritos",$,33.5098,-86.85464,3.0,16.78,8.620000000000001,4.78,1,AL/BIRMINGHAM,22
28,28,28,43,Taco Bell,birmingham,al,4.1,91.0,"burritos, fast food, mexican",$,33.4979239,-86.8757924,3.47,29.99,9.37486111111111,6.295,1,AL/BIRMINGHAM,72
46,46,46,68,Los Arcos Mexican Restaurant,birmingham,al,4.3,100.0,"mexican, salads, tacos",$,33.52812,-86.72866,3.29,17.88,9.419379310344826,9.89,1,AL/BIRMINGHAM,145
80,80,80,106,Taqueria La Herradura,birmingham,al,,,"mexican, breakfast and brunch, soup",$,33.5346,-86.84286,3.0,15.0,8.166666666666666,8.0,1,AL/BIRMINGHAM,30
81,81,81,108,Cabo Coastal Grill,birmingham,al,,,"mexican, latin american, new mexican",$$,33.43843,-86.86611,5.0,22.99,11.94875,12.49,1,AL/BIRMINGHAM,72
101,101,101,146,La Paz,birmingham,al,4.7,100.0,"mexican, latin american, new mexican",$$$,33.5032,-86.75708,3.0,69.6,17.19772727272727,16.8,1,AL/BIRMINGHAM,132
103,103,103,151,Urbano Taco Bar,birmingham,al,4.4,21.0,"mexican, latin american, spanish",$$,33.54819,-86.74283,3.0,13.5,7.832222222222222,7.875,1,AL/BIRMINGHAM,18
105,105,105,155,Little Donkey Mexican Restaurant  Homewood,birmingham,al,4.7,96.0,"mexican, latin american, comfort food",$,33.48294,-86.79133,3.0,45.6,14.657142857142858,11.85,1,AL/BIRMINGHAM,98
115,115,115,174,Crawdaddys,birmingham,al,,,"mexican, latin american, new mexican",$$,33.592864772769964,-86.95821521368951,4.75,10.99,6.91,4.99,1,AL/BIRMINGHAM,3
159,159,159,253,Taco Bell,birmingham,al,4.0,26.0,"burritos, fast food, mexican",$,33.557972,-86.8897092,3.47,29.99,9.311466666666666,6.59,1,AL/BIRMINGHAM,75
201,201,201,394,Amigos Mexican Grill,birmingham,al,,,"mexican, latin american, new mexican",$$,33.3807629,-86.7993697,3.0,13.5,7.371666666666667,7.5,1,AL/BIRMINGHAM,30
203,203,203,403,Hacienda Mexican Grill,birmingham,al,4.3,14.0,"mexican, comfort food, latin american",$,33.38486,-86.7366,3.25,21.99,11.239099099099098,12.5,1,AL/BIRMINGHAM,111
208,208,208,410,Little Donkey Mexican Restaurant  Greystone,birmingham,al,4.6,27.0,"mexican, latin american, comfort food",$,33.41942,-86.67403,3.0,45.6,14.399895833333334,9.3,1,AL/BIRMINGHAM,96
218,218,218,471,La Brisa Mexican Restaurant,birmingham,al,4.6,19.0,"mexican, new mexican, vegetarian friendly",$$,33.35299,-86.86385,3.25,17.95,9.403947368421052,9.95,1,AL/BIRMINGHAM,114
225,225,225,901,Moes Southwest Grill,birmingham,al,4.6,28.0,"fast food, mexican",$,33.411,-86.67116,3.49,44.99,14.336153846153849,3.49,1,AL/BIRMINGHAM,13
234,234,234,1753,Mexican Village Restaurant,milwaukee,wi,,,"mexican, latin american, new mexican",$,42.9865559,-88.0280432,5.0,25.0,11.62162162162162,10.0,1,WI/MILWAUKEE,37
236,236,236,1779,Zebbs Restaurant,milwaukee,wi,4.8,65.0,"burgers, american, sandwiches, seafood, italian, pasta, chicken, fried foods, stir fried, breakfast and brunch, greek, mexican, salads, bbq",$$,42.9807,-87.94913,3.0,25.25,13.166642857142856,14.5,1,WI/MILWAUKEE,140
242,242,242,1876,Taqueria El Paso,milwaukee,wi,,,"mexican, latin american, new mexican, exclusive to eats",$,43.0258495,-87.9114744,4.0,12.0,7.142857142857143,6.0,1,WI/MILWAUKEE,7
243,243,243,1877,Villanas Restaurant and Bar,milwaukee,wi,,,"mexican, new mexican, comfort food",$,43.003368,-87.952002,3.6,19.5,11.208,10.39,1,WI/MILWAUKEE,25
251,251,251,1887,El Jalapeo,milwaukee,wi,,,"mexican, latin american, new mexican",$,43.0228533,-87.9397699,3.25,3.25,3.25,3.25,1,WI/MILWAUKEE,1
259,259,259,1899,GrayJett Cafe,milwaukee,wi,,,"mexican, tacos, comfort food",$$,43.0831,-87.96817,5.0,18.0,11.583333333333334,11.0,1,WI/MILWAUKEE,24
283,283,283,1936,HuevoRito,milwaukee,wi,4.8,14.0,"mexican, burritos, breakfast and brunch",$,43.0761,-87.95806,3.0,30.0,8.3125,7.0,1,WI/MILWAUKEE,16
303,303,303,1965,Los Paisa Mexican Restaurant,milwaukee,wi,,,"mexican, salads, breakfast and brunch, healthy",$$,43.1770076,-87.9150859,3.99,17.0,10.252272727272729,10.25,1,WI/MILWAUKEE,66
310,310,310,1976,Little CancunBayview,milwaukee,wi,,,"mexican, new mexican",$$,42.98862,-87.87805,3.0,15.0,9.884285714285712,11.0,1,WI/MILWAUKEE,35
349,349,349,2033,El Rincn Catracho Restaurant,milwaukee,wi,,,"mexican, latin american, new mexican",$,43.0200096,-87.929459,3.5,15.5,8.629122807017545,8.5,1,WI/MILWAUKEE,57
350,350,350,2034,Doa Judys,milwaukee,wi,,,"mexican, latin american, new mexican",$,43.08229,-87.905,3.0,8.0,5.444444444444445,5.0,1,WI/MILWAUKEE,9
359,359,359,2046,Mr Taco,milwaukee,wi,,,"mexican, latin american, new mexican, exclusive to eats",$,43.0463694,-87.9109819,3.0,12.0,5.966666666666667,5.0,1,WI/MILWAUKEE,15
365,365,365,2055,Tres Hermanos Mexican Food Restaurant,milwaukee,wi,,,"mexican, latin american, new mexican",$,43.002992,-87.9296511,3.25,14.99,9.918,9.99,1,WI/MILWAUKEE,30
367,367,367,2057,Los Gemelos Tacos,milwaukee,wi,,,"mexican, latin american, new mexican",$$,43.012432,-87.925859,3.0,12.0,9.5,9.0,1,WI/MILWAUKEE,16
368,368,368,2059,Fiesta Cafe,milwaukee,wi,,,"mexican, latin american, new mexican",$,43.01668,-87.9116,4.72,29.49,15.444628099173553,15.34,1,WI/MILWAUKEE,121
